temp,windspeed,cnt
0.24,0,16
0.22,0,40
0.22,0,32
0.24,0,13
0.24,0,1
0.24,0.0896,1
0.22,0,2
0.2,0,3
0.24,0,8
0.32,0,14
0.38,0.2537,36
0.36,0.2836,56
0.42,0.2836,84
0.46,0.2985,94
0.46,0.2836,106
0.44,0.2985,110
0.42,0.2985,93
0.44,0.2836,67
0.42,0.2537,35
0.42,0.2537,37
0.4,0.2537,36
0.4,0.194,34
0.4,0.2239,28
0.46,0.2985,39
0.46,0.2985,17
0.44,0.2537,17
0.42,0.2836,9
0.46,0.194,6
0.46,0.194,3
0.42,0.2985,2
0.4,0.194,1
0.4,0.2239,8
0.38,0.2239,20
0.36,0.2239,53
0.36,0.2537,70
0.36,0.2985,93
0.36,0.1343,75
0.36,0.194,59
0.34,0.1642,74
0.34,0.1642,76
0.34,0.194,65
0.36,0.3284,53
0.32,0.4478,30
0.3,0.3582,22
0.26,0.3284,31
0.24,0.2985,9
0.22,0.1642,8
0.22,0.3582,5
0.2,0.4179,2
0.16,0.3881,1
0.16,0.2836,3
0.14,0.3881,30
0.14,0.194,64
0.14,0.2836,154
0.16,0.3881,88
0.18,0.2537,44
0.2,0.3284,51
0.22,0.2985,61
0.24,0.2836,61
0.26,0.2836,77
0.26,0.2537,72
0.26,0.2537,76
0.24,0.2239,157
0.24,0.1045,157
0.2,0,110
0.2,0.1045,52
0.18,0.1343,52
0.14,0.1343,20
0.18,0.1045,12
0.16,0.1045,5
0.16,0.1045,2
0.14,0.1343,1
0.14,0.0896,2
0.12,0.1045,4
0.12,0.1045,36
0.12,0.1343,94
0.14,0.1642,179
0.16,0.2239,100
0.16,0.3284,42
0.22,0.2985,57
0.22,0.1642,78
0.24,0.194,97
0.26,0.2239,63
0.28,0.2537,65
0.3,0.2537,83
0.28,0.2239,212
0.26,0.194,182
0.24,0.1045,112
0.24,0.1045,54
0.22,0,48
0.22,0.0896,35
0.2,0.0896,11
0.2,0,6
0.16,0.0896,6
0.16,0.0896,2
0.24,0.2239,2
0.22,0.1642,3
0.2,0.2239,33
0.18,0.194,88
0.2,0.2985,195
